ashrae_number,name,family,composition,gwp100,gwp_basis,odp,safety_class,applications,alternatives,reg_category,regulatory_status,notes,sources,needs_verification
R-11,트리클로로플루오로메탄 (CFC-11),CFC,,4750,AR4,1.0,A1,(과거) 대형 원심 칠러,R-1233zd(E); R-514A; R-123(과도기),퇴출완료,몬트리올의정서에 따라 신규 생산·수입 금지(퇴출 완료). 잔존 설비는 회수·전환 대상.,ODP 기준물질(ODP=1.0).,IPCC-AR4; WIKI,False
R-12,디클로로디플루오로메탄 (CFC-12),CFC,,10900,AR4,1.0,A1,(과거) 가정용 냉장; (과거) 차량 에어컨,R-134a; R-600a; R-1234yf,퇴출완료,몬트리올의정서에 따라 퇴출 완료.,,IPCC-AR4; WIKI,False
R-22,클로로디플루오로메탄 (HCFC-22),HCFC,,1810,AR4,0.055,A1,에어컨(구형); 중저온 냉동; 칠러(구형),R-32; R-410A(과도기); R-407C(드롭인성 개조); R-290(소형 밀폐형),감축중,몬트리올의정서 HCFC 감축 일정 적용. 한국은 단계 감축 중이며 2030년경 신규 공급 사실상 전폐(서비스용 일부 유예) 방향.,국내 기존 설비 잔존량이 많아 전환 수요가 가장 큰 냉매.,IPCC-AR4; UNEP-ASHRAE,False
R-23,트리플루오로메탄 (HFC-23),HFC,,14800,AR4,0,A1,초저온 냉동(-80℃급); 환경시험챔버; 캐스케이드 저단,R-744 캐스케이드 구성; 초저온 대체 블렌드(제한적),감축대상,키갈리개정서 HFC 감축 대상 중 최고 수준 GWP. 부산물 파괴 의무 논의 대상.,대체가 제한적이므로 회수·누출관리가 특히 중요.,IPCC-AR4,False
R-32,디플루오로메탄 (HFC-32),HFC,,675,AR4,0,A2L,가정용 에어컨; 상업용 에어컨; 히트펌프,"R-290(더 낮은 GWP, 소형); R-454C(저GWP 블렌드)",감축대상,키갈리 HFC 감축 대상이지만 R-410A(2088) 대비 약 1/3 GWP로 현행 에어컨 전환의 주력. EU F-gas 쿼터 대상.,미연소성 아님 — A2L(약가연성)로 설치·충전량 기준 적용.,IPCC-AR4; UNEP-ASHRAE; EU-2024-573,False
R-123,디클로로트리플루오로에탄 (HCFC-123),HCFC,,77,AR4,0.02,B1,대형 저압 원심 칠러,R-1233zd(E); R-514A,감축중,HCFC로서 몬트리올 감축 일정 적용. 신규 설비 채택 불가 방향.,GWP는 낮지만 ODP와 독성(B등급) 이슈.,IPCC-AR4; WIKI,False
R-125,펜타플루오로에탄 (HFC-125),HFC,,3500,AR4,0,A1,블렌드 성분(R-410A·R-404A·R-407 계열); 소화약제,(성분 냉매 — 블렌드 단위로 전환),감축대상,키갈리 HFC 감축 대상. 고GWP 성분이라 신규 블렌드에서 배제 추세.,,IPCC-AR4; EU-2024-573,False
R-134a,테트라플루오로에탄 (HFC-134a),HFC,,1430,AR4,0,A1,차량 에어컨(구형); 칠러; 상업 냉장; 블렌드 성분,R-1234yf(차량); R-513A(칠러 과도기); R-1234ze(E)(칠러); R-515B(불연 요구처),감축대상,키갈리 HFC 감축 대상. EU는 차량 에어컨에 GWP>150 냉매 사용 금지(MAC 지침)로 사실상 퇴출.,데이터센터 칠러 기존 설비에서 흔함 — 전환 상담 빈도 높음.,IPCC-AR4; UNEP-ASHRAE; EU-2024-573,False
R-143a,트리플루오로에탄 (HFC-143a),HFC,,4470,AR4,0,A2L,블렌드 성분(R-404A 등),(성분 냉매 — 블렌드 단위로 전환),감축대상,키갈리 HFC 감축 대상. 고GWP 성분.,,IPCC-AR4,False
R-152a,디플루오로에탄 (HFC-152a),HFC,,124,AR4,0,A2,발포제; 일부 냉장; 블렌드 성분,R-290; R-600a,감축대상,키갈리 대상이나 저GWP HFC로 상대적으로 유리.,가연성(A2) 주의.,IPCC-AR4,False
